1	1	30	62
2	1	47	121
3	1	49	74
4	2	48	68
5	2	35	54
6	2	50	175
7	3	9	139
8	3	32	166
9	3	38	57
10	4	12	167
11	4	21	175
12	4	32	148
13	4	33	126
14	4	44	173
15	5	6	142
16	5	23	91
17	5	36	62
18	5	45	130
19	6	22	148
20	6	23	57
21	6	26	128
22	6	33	76
23	7	8	51
24	7	23	100
25	7	39	43
26	8	16	148
27	9	12	60
28	9	14	133
29	10	17	26
30	10	24	83
31	10	34	46
32	11	15	30
33	11	26	144
34	11	36	52
35	11	45	78
36	12	14	188
37	12	32	100
38	13	15	29
39	13	30	35
40	14	26	113
41	14	32	102
42	14	50	153
43	15	49	46
44	16	28	64
45	17	19	85
46	17	20	50
47	17	29	90
48	18	25	123
49	18	31	109
50	19	20	72
51	19	26	85
52	19	50	89
53	20	26	102
54	20	45	59
55	21	44	141
56	22	23	134
57	22	28	86
58	22	44	96
59	23	40	115
60	24	25	67
61	24	29	109
62	24	43	57
63	25	34	54
64	25	43	103
65	25	46	59
66	27	31	86
67	27	35	105
68	28	44	124
69	29	30	76
70	29	45	67
71	29	47	94
72	31	46	120
73	32	33	103
74	33	44	157
75	35	38	163
76	35	41	147
77	35	42	102
78	36	40	45
79	37	39	86
80	37	49	252
81	38	42	100
82	38	50	80
83	39	40	93
84	39	49	229
85	41	42	111
86	43	47	63
87	46	48	76
88	46	50	132
